,bio-bert,roberta
accuracy_score,17.964407398698174,16.912739589639422
f1_score_macro,76.40217489875945,75.32071638503491
f1_score_micro,85.57213544159794,85.28730560429636
hamming_loss*,0.11159219437676257,0.11433059993095615
jaccard,64.17048801922789,63.077289213356934
jaro_mean,92.0314633276934,91.84915355019314
lev_mean*,6.597424364471439,6.75653039680197
log_loss*,42.38296447889658,42.206368536903284
